timestamp,message
1669655452131,"Preparing to unpack .../21-python3-wheel_0.30.0-0.2_all.deb ...
"
1669655452131,"Unpacking python3-wheel (0.30.0-0.2) ...
"
1669655452131,"Selecting previously unselected package python3-xdg.
"
1669655452131,"Preparing to unpack .../22-python3-xdg_0.25-4ubuntu1.1_all.deb ...
"
1669655452131,"Unpacking python3-xdg (0.25-4ubuntu1.1) ...
"
1669655452131,"Setting up python-pip-whl (9.0.1-2.3~ubuntu1.18.04.5) ...
"
1669655452131,"Setting up python3-cffi-backend (1.11.5-1) ...
"
1669655452131,"Setting up python3-crypto (2.6.1-8ubuntu2) ...
"
1669655454153,"Setting up python3-idna (2.6-1) ...
"
1669655454153,"Setting up python3-xdg (0.25-4ubuntu1.1) ...
"
1669655454153,"Setting up python3-six (1.11.0-2) ...
"
1669655454153,"Setting up python3-wheel (0.30.0-0.2) ...
"
1669655454153,"Setting up python3-pkg-resources (39.0.1-2) ...
"
1669655454153,"Setting up libpython3.6-dev:amd64 (3.6.9-1~18.04ubuntu1.8) ...
"
1669655454153,"Setting up python3-asn1crypto (0.24.0-1) ...
"
1669655454153,"Setting up libapparmor1:amd64 (2.12-4ubuntu5.1) ...
"
1669655454153,"Setting up python3-pip (9.0.1-2.3~ubuntu1.18.04.5) ...
"
1669655454153,"Setting up python3-setuptools (39.0.1-2) ...
"
1669655456177,"Setting up python3.6-dev (3.6.9-1~18.04ubuntu1.8) ...
"
1669655456177,"Setting up dh-python (3.20180325ubuntu2) ...
"
1669655456177,"Setting up libdbus-1-3:amd64 (1.12.2-1ubuntu1.4) ...
"
1669655456177,"Setting up libpython3-dev:amd64 (3.6.7-1~18.04) ...
"
1669655456177,"Setting up python3-cryptography (2.1.4-1ubuntu1.4) ...
"
1669655456177,"Setting up python3-keyrings.alt (3.0-1) ...
"
1669655456177,"Setting up python3-dev (3.6.7-1~18.04) ...
"
1669655456177,"Setting up dbus (1.12.2-1ubuntu1.4) ...
"
